

(lerobot) dreame@x:~/zexuan/projects/so101/lerobot/src/lerobot$ tail -f train.log
Generating train split: 91622 examples [00:00, 1241529.16 examples/s]
INFO 2025-08-19 21:05:58 ts/train.py:138 Creating policy
INFO 2025-08-19 21:05:59 ts/train.py:144 Creating optimizer and scheduler
INFO 2025-08-19 21:05:59 ts/train.py:156 Output dir: outputs/train/3camera_grasp
INFO 2025-08-19 21:05:59 ts/train.py:159 cfg.steps=100000 (100K)
INFO 2025-08-19 21:05:59 ts/train.py:160 dataset.num_frames=91622 (92K)
INFO 2025-08-19 21:05:59 ts/train.py:161 dataset.num_episodes=63
INFO 2025-08-19 21:05:59 ts/train.py:162 num_learnable_params=51597190 (52M)
INFO 2025-08-19 21:05:59 ts/train.py:163 num_total_params=51597244 (52M)
INFO 2025-08-19 21:05:59 ts/train.py:202 Start offline training on a fixed dataset
INFO 2025-08-19 21:07:41 ts/train.py:232 step:500 smpl:8K ep:6 epch:0.09 loss:4.253 grdn:82.949 lr:1.0e-05 updt_s:0.201 data_s:0.002
INFO 2025-08-19 21:09:20 ts/train.py:232 step:1K smpl:16K ep:11 epch:0.17 loss:2.049 grdn:50.982 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:10:59 ts/train.py:232 step:2K smpl:24K ep:17 epch:0.26 loss:1.512 grdn:43.816 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:12:38 ts/train.py:232 step:2K smpl:32K ep:22 epch:0.35 loss:1.162 grdn:38.136 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:14:18 ts/train.py:232 step:2K smpl:40K ep:28 epch:0.44 loss:0.905 grdn:32.702 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:15:57 ts/train.py:232 step:3K smpl:48K ep:33 epch:0.52 loss:0.732 grdn:28.447 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:17:36 ts/train.py:232 step:4K smpl:56K ep:39 epch:0.61 loss:0.607 grdn:25.744 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:19:15 ts/train.py:232 step:4K smpl:64K ep:44 epch:0.70 loss:0.528 grdn:22.892 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:20:54 ts/train.py:232 step:4K smpl:72K ep:50 epch:0.79 loss:0.466 grdn:21.394 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:22:34 ts/train.py:232 step:5K smpl:80K ep:55 epch:0.87 loss:0.427 grdn:19.772 lr:1.0e-05 updt_s:0.198 data_s:0.000
INFO 2025-08-19 21:22:34 ts/train.py:241 Checkpoint policy after step 5000
